number,value,state,datetime_start,datetime_complete,n_layers,n_units_l1,n_units_l2,activation,alpha,learning_rate_init,batch_size,n_units_l3
0,0.36647443102993993,COMPLETE,2025-10-08 14:53:52.317024,2025-10-08 14:54:04.146650,2,20,16.0,relu,4.207053950287936e-06,0.00013066739238053285,64,
1,0.39011007294976646,COMPLETE,2025-10-08 14:54:04.476450,2025-10-08 14:54:15.392055,1,20,,relu,5.337032762603957e-06,0.00023270677083837802,128,
2,0.392796156175982,COMPLETE,2025-10-08 14:54:15.492214,2025-10-08 14:54:22.446454,1,16,,tanh,2.9204338471814107e-05,0.000816845589476017,64,
3,0.39218412450937495,COMPLETE,2025-10-08 14:54:22.575211,2025-10-08 14:54:26.094517,2,4,16.0,relu,0.006245139574743076,0.00853618986286683,64,
4,0.37872750198541627,COMPLETE,2025-10-08 14:54:26.224360,2025-10-08 14:54:30.058101,3,12,4.0,tanh,1.0842262717330169e-05,0.0021137059440645744,256,12.0
5,0.3888342345218851,COMPLETE,2025-10-08 14:54:30.174895,2025-10-08 14:54:35.125174,1,20,,tanh,0.003795853142670641,0.0015696396388661157,64,
6,0.4150107493437893,COMPLETE,2025-10-08 14:54:35.228038,2025-10-08 14:54:39.824282,1,8,,relu,0.0020651425578959264,0.0005170191786366995,128,
7,0.38441589726398406,COMPLETE,2025-10-08 14:54:39.940894,2025-10-08 14:54:43.623589,3,4,20.0,relu,0.0018274508859816032,0.002592475660475161,128,16.0
8,0.4113002413312427,COMPLETE,2025-10-08 14:54:43.727485,2025-10-08 14:54:47.177589,2,4,20.0,relu,1.7956984225677624e-06,0.0004187594718900631,128,
9,0.37012690657257485,COMPLETE,2025-10-08 14:54:47.290825,2025-10-08 14:54:59.206576,3,12,4.0,relu,0.0012130221181165164,0.0009718319944817398,64,16.0
10,0.3886756978446689,COMPLETE,2025-10-08 14:54:59.307727,2025-10-08 14:55:24.722520,2,16,12.0,tanh,0.00018300053640667708,0.00011952270129143879,256,
11,0.41123521024337245,COMPLETE,2025-10-08 14:55:24.841420,2025-10-08 14:55:36.306626,3,12,4.0,relu,0.00028592111831985886,0.0001317923269837779,64,4.0
12,0.36051466828445433,COMPLETE,2025-10-08 14:55:36.421660,2025-10-08 14:55:39.709827,2,16,12.0,relu,0.0005197473211490454,0.006665510953435556,64,
13,0.3659967761149731,COMPLETE,2025-10-08 14:55:39.821536,2025-10-08 14:55:42.893838,2,16,12.0,relu,5.1580948836723734e-05,0.009818226878189102,64,
14,0.37864407980111736,COMPLETE,2025-10-08 14:55:43.019907,2025-10-08 14:55:45.622270,2,16,12.0,relu,5.2931921597924574e-05,0.009886061418374873,64,
15,0.36255921639276106,COMPLETE,2025-10-08 14:55:45.772407,2025-10-08 14:55:49.574475,2,16,12.0,relu,0.0004971782474948573,0.005069521238203797,64,
16,0.38364577664347194,COMPLETE,2025-10-08 14:55:49.760556,2025-10-08 14:55:51.337015,2,8,8.0,relu,0.0005532709028590391,0.00425627455524194,256,
17,0.3646730703778574,COMPLETE,2025-10-08 14:55:51.472188,2025-10-08 14:55:55.474593,2,16,8.0,relu,0.000666431028775116,0.004570102541959654,64,
18,0.3874914420022282,COMPLETE,2025-10-08 14:55:55.605951,2025-10-08 14:55:59.975858,1,8,,tanh,0.00014508608704143724,0.004425557038568155,64,
19,0.3792449297877108,COMPLETE,2025-10-08 14:56:00.106030,2025-10-08 14:56:00.977376,3,12,16.0,relu,0.009666555694984076,0.005884303830089448,256,4.0
20,0.36453739268652213,COMPLETE,2025-10-08 14:56:01.103525,2025-10-08 14:56:05.024827,2,20,8.0,relu,0.00036812112820042684,0.00274149616533467,64,
21,0.36784907888886864,COMPLETE,2025-10-08 14:56:05.174417,2025-10-08 14:56:10.722242,2,20,8.0,relu,0.00041248303237075067,0.00280964826862046,64,
22,0.3738951743726374,COMPLETE,2025-10-08 14:56:10.855690,2025-10-08 14:56:15.003181,2,20,8.0,relu,0.000946360773587218,0.001587358013351102,64,
23,0.37212259529477637,COMPLETE,2025-10-08 14:56:15.121578,2025-10-08 14:56:19.123969,2,16,12.0,relu,7.954826327346708e-05,0.00557551331170524,64,
24,0.35864318916592725,COMPLETE,2025-10-08 14:56:19.273454,2025-10-08 14:56:26.021995,2,20,8.0,relu,0.0003032566999511661,0.0031586493225653225,64,
