Date,dwpf
2015-01-01,14.0
2015-01-02,23.0
2015-01-03,26.96
2015-01-04,38.480000000000004
2015-01-05,35.06
2015-01-06,10.489999999999998
2015-01-07,9.995000000000001
2015-01-08,1.04
2015-01-09,17.06
2015-01-10,5.0
2015-01-11,19.94
2015-01-12,32.0
2015-01-13,26.509999999999998
2015-01-14,12.02
2015-01-15,15.08
2015-01-16,21.02
2015-01-17,8.96
2015-01-18,37.63999999999999
2015-01-19,33.98
2015-01-20,19.04
2015-01-21,10.04
2015-01-22,23.0
2015-01-23,23.0
2015-01-24,30.320000000000004
2015-01-25,26.06
2015-01-26,17.06
2015-01-27,15.08
2015-01-28,8.96
2015-01-29,23.0
2015-01-30,28.04
2015-01-31,1.94
2015-02-01,14.0
2015-02-02,17.509999999999998
2015-02-03,5.0
2015-02-04,30.92
2015-02-05,31.46
2015-02-06,5.0
2015-02-07,23.0
2015-02-08,24.98
2015-02-09,15.62
2015-02-10,21.02
2015-02-11,12.92
2015-02-12,23.72
2015-02-13,-2.02
2015-02-14,15.08
2015-02-15,14.99
2015-02-16,-5.08
2015-02-17,6.98
2015-02-18,17.96
2015-02-19,15.98
2015-02-20,-2.92
2015-02-21,28.04
2015-02-22,28.159999999999997
2015-02-23,15.98
2015-02-24,10.04
2015-02-25,10.94
2015-02-26,11.48
2015-02-27,3.02
2015-02-28,5.0
2015-03-01,23.54
2015-03-02,23.0
2015-03-03,29.93
2015-03-04,33.98
2015-03-05,30.02
2015-03-06,6.98
2015-03-07,21.02
2015-03-08,26.96
2015-03-09,23.0
2015-03-10,39.02
2015-03-11,39.92
2015-03-12,24.98
2015-03-13,21.92
2015-03-14,35.195
2015-03-15,33.98
2015-03-16,24.08
2015-03-17,39.02
2015-03-18,8.96
2015-03-19,5.0
2015-03-20,24.08
2015-03-21,32.0
2015-03-22,17.06
2015-03-23,3.92
2015-03-24,15.98
2015-03-25,34.519999999999996
2015-03-26,44.96
2015-03-27,39.92
2015-03-28,30.92
2015-03-29,12.92
2015-03-30,30.11
2015-03-31,30.92
2015-04-01,24.98
2015-04-02,30.92
2015-04-03,51.98
2015-04-04,51.080000000000005
2015-04-05,33.08
2015-04-06,37.04
2015-04-07,37.94
2015-04-08,37.04
2015-04-09,35.195
2015-04-10,48.92
2015-04-11,46.94
2015-04-12,30.92
2015-04-13,41.0
2015-04-14,48.92
2015-04-15,24.98
2015-04-16,26.06
2015-04-17,53.06
2015-04-18,46.94
2015-04-19,33.08
2015-04-20,48.92
2015-04-21,49.28
2015-04-22,46.94
2015-04-23,33.98
2015-04-24,24.98
2015-04-25,28.04
2015-04-26,30.92
2015-04-27,37.94
2015-04-28,37.94
2015-04-29,39.92
2015-04-30,41.0
2015-05-01,39.02
2015-05-02,42.08
2015-05-03,44.06
2015-05-04,46.94
2015-05-05,53.06
2015-05-06,42.08
2015-05-07,44.06
2015-05-08,55.04
2015-05-09,62.06
2015-05-10,64.04
2015-05-11,64.94
2015-05-12,66.02
2015-05-13,42.08
2015-05-14,37.04
2015-05-15,39.92
2015-05-16,60.08
2015-05-17,60.98
2015-05-18,57.92
2015-05-19,64.04
2015-05-20,46.04
2015-05-21,42.98
2015-05-22,44.96
2015-05-23,35.06
2015-05-24,50.0
2015-05-25,57.92
2015-05-26,62.96
2015-05-27,66.92
2015-05-28,69.08
2015-05-29,59.0
2015-05-30,64.94
2015-05-31,66.56
2015-06-01,48.92
2015-06-02,48.02
2015-06-03,50.0
2015-06-04,51.98
2015-06-05,57.92
2015-06-06,57.92
2015-06-07,46.94
2015-06-08,60.08
2015-06-09,66.67999999999999
2015-06-10,57.92
2015-06-11,66.92
2015-06-12,68.0
2015-06-13,68.0
2015-06-14,60.08
2015-06-15,62.510000000000005
2015-06-16,70.52000000000001
2015-06-17,60.08
2015-06-18,59.0
2015-06-19,66.02
2015-06-20,60.8
2015-06-21,71.06
2015-06-22,66.02
2015-06-23,71.96
2015-06-24,59.0
2015-06-25,62.96
2015-06-26,62.96
2015-06-27,57.92
2015-06-28,57.92
2015-06-29,60.98
2015-06-30,62.06
2015-07-01,67.46000000000001
2015-07-02,60.98
2015-07-03,55.04
2015-07-04,60.98
2015-07-05,62.96
2015-07-06,66.02
2015-07-07,73.94
2015-07-08,71.06
2015-07-09,66.02
2015-07-10,64.94
2015-07-11,60.98
2015-07-12,66.02
2015-07-13,68.0
2015-07-14,71.06
2015-07-15,71.06
2015-07-16,57.02
2015-07-17,60.98
2015-07-18,71.06
2015-07-19,73.94
2015-07-20,73.04
2015-07-21,68.0
2015-07-22,59.0
2015-07-23,57.02
2015-07-24,60.98
2015-07-25,62.06
2015-07-26,68.0
2015-07-27,66.92
2015-07-28,68.0
2015-07-29,68.0
2015-07-30,73.445
2015-07-31,69.98
2015-08-01,64.04
2015-08-02,60.98
2015-08-03,69.08
2015-08-04,69.98
2015-08-05,60.98
2015-08-06,57.92
2015-08-07,59.0
2015-08-08,60.98
2015-08-09,59.0
2015-08-10,62.06
2015-08-11,69.98
2015-08-12,66.02
2015-08-13,57.92
2015-08-14,60.98
2015-08-15,66.02
2015-08-16,69.08
2015-08-17,69.98
2015-08-18,70.52
2015-08-19,70.34
2015-08-20,71.06
2015-08-21,71.33
2015-08-22,64.04
2015-08-23,66.92
2015-08-24,69.08
